25	Nebius Birmingham BHM01 AI factory	US		AL	Birmingham	Jefferson	Nebius	300.0
55	ForgeLight Ventures Conway data center	US		AR	Conway	Faulkner	ForgeLight Ventures, LLC / undisclosed Fortune 100 company	
85	Iron Mountain Phoenix Data Center Campus	US		AZ	Phoenix	Maricopa	Iron Mountain Data Centers	89.0
115	DataBank / Goodman LAX2 Vernon Data Center	US		CA	Vernon	Los Angeles	DataBank; Goodman Group	32.0
145	Lumen Technologies San Luis Obispo	US		CA	San Luis Obispo	San Luis Obispo	Lumen Technologies / Level 3 Communications	0.625
175	Lumen Technologies Modesto data center	US		CA	Modesto	Stanislaus	Lumen Technologies	
205	Raeden Project Taurus	US		CO	Colorado Springs	El Paso	Raeden	50.0
235	NE Edge / Groton Data Center Proposal	US		CT	Groton	Southeastern Connecticut Planning Region	NE Edge LLC / Gotspace Data Partners	80.0
265	DCIP & 3-F Ranch Hyperscale Data Center	US		FL	Arcadia	DeSoto	DCIP & 3-F Ranch	
295	Okee-One Data Center	US		FL	Okeechobee	Okeechobee	Indian River State College	10.0
325	Kingsland industrial park / data center rezoning	US		GA	Kingsland	Camden	Kirk Tovey-linked entities (V V Farm Inc. and Sapling Farms LLC)	
355	CleanSpark Swainsboro Data Center	US		GA	Swainsboro	Emanuel	CleanSpark Inc.	
385	Crooked Creek Technology Park	US		GA	Gray area / unincorporated Jones County	Jones	Eagle Rock Partners LLC; Thomas & Hutton Engineering	
415	Soperton	US		GA	Soperton	Treutlen	ISS Mining	780.0
445	Apple Waukee data center campus	US		IA	Waukee	Dallas	Apple Inc.	
475	InfoBunker Des Moines Data Center	US		IA	Des Moines	Polk	InfoBunker	10.0
505	ColocationPLUS Rantoul 1	US		IL	Rantoul	Champaign	Prominic.NET / ColocationPLUS	
535	Project Star Data Center Campus	US		IL	Coal City	Grundy	Aligned Data Centers	864.0
565	Meta Lebanon Data Center	US		IN	Lebanon	Boone	Meta	1000.0
595	Netrality Indy Telcom Center / 733 West Henry	US		IN	Indianapolis	Marion	Netrality Data Centers	
625	Potential Cloud County data center development	US		KS	Concordia	Cloud		
655	Ramiform AI Hutchinson data center interest	US		KS	Hutchinson	Reno	Ramiform AI	
685	Kayjay / Barbourville area AI data center rumor	US		KY	Barbourville	Knox		
715	Cogent New Orleans Data Center	US		LA	New Orleans	Orleans Parish	Cogent Communications	0.7
745	Equinix BO1 Waltham Data Center	US		MA	Waltham	Middlesex	Equinix	
775	Quantum Frederick	US		MD	Adamstown	Frederick	Catellus Development Corporation	2400.0
805	Hyperscale Data Dowagiac Data Center	US		MI	Dowagiac	Cass	Hyperscale Data, Inc.	30.0
835	Project Flex	US		MI	Lyon Township	Oakland	Verrus	
865	Swervo Eagan Data Center	US		MN	Eagan	Dakota	Swervo Development Corporation	10.0
895	Google Becker data center	US		MN	Becker	Sherburne	Google	
925	Jasper County Powered Data Park	US		MO		Jasper	Geronimo Power	400.0
955	xAI MACROHARDRR Southaven Data Center	US		MS	Southaven	DeSoto	xAI	
985	Rowin 17-5 CTB Site	US		MT	Sidney area	Richland	NYDIG DFM, LLC	9.7
1015	Project Iron Spur	US		NC	Rural Hall	Forsyth	Drox Group LLC / Montrose LLC	
1045	Meta Forest City Data Center	US		NC	Forest City	Rutherford	Meta / Facebook	
1075	Atlas Power Williston Data Center	US		ND	Williston	Williams	Atlas Power; FX Solutions Inc.	700.0
1105	Yahoo / H5 Data Centers Omaha	US		NE	La Vista	Sarpy	Yahoo; later H5 Data Centers	
1135	365 Data Centers Carlstadt	US		NJ	Carlstadt	Bergen	365 Data Centers	18.0
1165	Lumen Weehawken 1	US		NJ	Weehawken	Hudson	Lumen	
1195	Centersquare New York EWR3-A	US		NJ	Piscataway	Middlesex	Centersquare	18.0
1225	Project Jupiter	US		NM	Santa Teresa	Doña Ana	STACK Infrastructure; BorderPlex Digital Assets; Oracle	
1255	Tract Peru Shelf Technology Park	US		NV	Sparks / McCarran	Storey	Tract	810.0
1285	Remington Factory Data Center	US		NY	Ilion	Herkimer	Turin Hoefler Avenue LLC	200.0
1315	Shelby Route 63 data center alternative site	US		NY	Shelby	Orleans		
1345	EnergiAcres Ohio Appalachian energy corridor campus	US		OH		Belmont	EnergiAcres	
1375	Guernsey County proposed data center	US		OH		Guernsey	Smart Energy Partners / Jason Miller	
