26	DC BLOX Birmingham data center	US		Birmingham	Jefferson	AL	DC BLOX		operational	["county:county-explore"]
56	Fulton County Hospital data center installation	US		Salem	Fulton	AR	Baxter Health		operational	["county:county-explore"]
86	QTS Phoenix / Avondale Area Campus	US		Avondale; Glendale; Phoenix area	Maricopa	AZ	QTS Data Centers		planned	["county:county-explore"]
116	Global Stack Antelope Valley Fair and Event Center proposal	US		Lancaster	Los Angeles	CA	Global Stack LLC	10.0	planned	["county:county-explore"]
146	Global Stack San Mateo County Event Center proposal	US		San Mateo	San Mateo	CA	Global Stack LLC / MeshClusters LLC	10.0	rejected	["county:county-explore"]
176	Ayera Technologies Modesto data center	US		Modesto	Stanislaus	CA	Ayera Technologies		operational	["county:county-explore"]
206	QTS Colorado Springs Data Center	US		Colorado Springs	El Paso	CO	QTS Data Centers	14.0	operational	["county:county-explore"]
236	Gotspace Bozrah Data Center	US		Bozrah	Southeastern Connecticut Planning Region	CT	Gotspace Data Partners	100.0	rejected	["county:county-explore"]
266	Swisher Properties Hyperscale Data Center	US		Arcadia	DeSoto	FL	Swisher Mildred E TR & Swisher Properties		planned	["county:county-explore"]
296	HostDime Orlando 2 / Eatonville data center	US		Eatonville	Orange	FL	HostDime.com Inc.	10.0	construction	["county:county-explore"]
326	FOGO Carrollton Data Center	US		Carrollton	Carroll	GA	FOGO Solutions		operational	["county:county-explore"]
356	QTS Fayetteville Data Center Campus	US		Fayetteville	Fayette	GA	QTS Data Centers	250.0	construction	["county:county-explore"]
386	Amazon Lamar County / Legacy 75 Trade Center potential data center	US		Barnesville area	Lamar	GA	Amazon Data Services Inc. / Amazon Web Services		planned	["county:county-explore"]
416	Project Pegasus	US		LaGrange	Troup	GA	Google	100.0	construction	["county:county-explore"]
446	US Signal IA01 Des Moines data center expansion	US		Waukee	Dallas	IA	US Signal		approved	["county:county-explore"]
476	Aureon Des Moines Data Centers	US		Des Moines	Polk	IA	Aureon Networks		operational	["county:county-explore"]
506	ColocationPLUS Rantoul 2	US		Rantoul	Champaign	IL	Prominic.NET / ColocationPLUS		operational	["county:county-explore"]
536	Cielo Minooka Data Center	US		Minooka	Grundy	IL	Cielo Digital Infrastructure	500.0	planned	["county:county-explore", "state:IL"]
566	Meta Jeffersonville Data Center	US		Jeffersonville	Clark	IN	Meta		construction	["county:county-explore", "state:IN"]
596	Indiana University Bloomington Data Center	US		Bloomington	Monroe	IN	Indiana University		operational	["county:county-explore"]
626	MidAmerica Compute Campus data center	US			Coffey	KS	MidAmerica Compute Campus		planned	["county:county-explore"]
656	Nex-Tech Salina Data Center	US		Salina	Saline	KS	Nex-Tech		announced	["county:county-explore"]
686	Project Maverick / Gateway Business Park data center exploration	US		Jenkins	Letcher	KY	Maverick Holdings; Diversified Gas and Oil Corporation; Appalachian Industrial Development Authority		planned	["county:county-explore"]
716	Lumen New Orleans 1	US		New Orleans	Orleans Parish	LA	Lumen		operational	["county:county-explore"]
746	Digital Realty 600 Winter Street Waltham Data Center	US		Waltham	Middlesex	MA	Digital Realty		operational	["county:county-explore"]
776	Aligned IAD-04 Data Center	US		Frederick	Frederick	MD	Aligned Data Centers		planned	["county:county-explore"]
806	Hyperscale Data Dowagiac expansion	US		Dowagiac	Cass	MI	Hyperscale Data, Inc.	340.0	announced	["county:county-explore"]
836	Metrobloks Southfield Data Center	US		Southfield	Oakland	MI	Metrobloks	100.0	approved	["county:county-explore"]
866	Connect Data Centers Hampton Campus	US		Hampton	Dakota	MN	Oppidan / Connect Data Centers		planned	["county:county-explore"]
896	Hermantown Data Center	US		Hermantown	St. Louis	MN	Google		planned	["county:county-explore"]
926	Wildwood Ranch Industrial Complex potential data center	US		Joplin	Jasper	MO	Wildwood Ranch LLC / James Pinjuv; end user not disclosed		approved	["county:county-explore"]
956	C Spire Hattiesburg Data Center	US		Hattiesburg	Forrest	MS	C Spire	10.0	operational	["county:county-explore"]
986	Meldahl Facility	US		Snowden area	Richland	MT	NYDIG DFM, LLC	11.2	operational	["county:county-explore"]
1016	Segra Winston-Salem Data Center	US		Winston-Salem	Forsyth	NC	Segra / NorthState / DataChambers	6.0	operational	["county:county-explore"]
1046	Project Delta	US		Walnut Cove	Stokes	NC	Engineered Land Solutions; DFC Stokes LLC; DFC Stokes 2 LLC		planned	["county:county-explore", "state:NC"]
1076	Enerfore Digital Pleasant Valley Data Center	US		Tioga area	Williams	ND	Enerfore Digital Valley, LLC; Enerfore Digital	30.0	approved	["county:county-explore"]
1106	Fidelity Omaha West Data Center	US		Papillion	Sarpy	NE	Fidelity Investments		operational	["county:county-explore"]
1136	Metanet EWR1 Carlstadt NJ Data Center	US		Carlstadt	Bergen	NJ	Metanet Hosting		operational	["county:county-explore"]
1166	Lumen Jersey City	US		Jersey City	Hudson	NJ	Lumen		operational	["county:county-explore"]
1196	ReliableSite NYC Metro	US		Piscataway	Middlesex	NJ	ReliableSite		operational	["county:county-explore"]
1226	New Era Lea AI Data Center Hub	US		Caprock	Lea	NM	New Era Energy & Digital, Inc.	7000.0	planned	["county:county-explore"]
1256	Fleet Peru Shelf Tech Park / SV RNO Property Owner 1	US		Sparks / McCarran	Storey	NV	Fleet Data Centers / Tract Capital	230.0	construction	["county:county-explore"]
1286	LeRay County Route 16 data center site	US		LeRay / Evans Mills area	Jefferson	NY	Canaan Realty / Allen Olmsted marketing site; buyer-developer not identified		announced	["county:county-explore"]
1316	Eco-Yotta Oneonta data center / AI research facility	US		Oneonta	Otsego	NY	Eco-Yotta Inc.		rejected	["county:county-explore"]
1346	DB STU LLC Mt. Orab Mega Site data center	US		Mt. Orab	Brown	OH	DB STU LLC		announced	["county:county-explore"]
1376	CyrusOne CIN2 Cincinnati	US		Cincinnati	Hamilton	OH	CyrusOne	14.0	operational	["county:county-explore"]
1406	DP Facilities Hannibal data center campus	US		Hannibal	Monroe	OH	DP Facilities Inc.	200.0	unknown	["county:county-explore"]
1436	Marysville South Data Center	US		Marysville	Union	OH			approved	["county:county-explore"]
1466	TierPoint Oklahoma City OKC2	US		Oklahoma City	Oklahoma	OK	TierPoint	8.0	operational	["county:county-explore"]
1496	Data Center West Eugene	US		Eugene	Lane	OR	Data Center West		operational	["county:county-explore"]
1526	Hillsboro Data Center Cluster	US		Hillsboro	Washington	OR	Multiple		operational	["county:county-explore"]
1556	Klondike Wyalusing Data Center	US		Wyalusing Township	Bradford	PA	New Fortress Energy / Klondike Digital Infrastructure	218.0	planned	["county:county-explore"]
1586	4-3 Group Salem Township Phase III	US		Salem Township	Luzerne	PA	4-3 Group	4000.0	announced	["county:county-explore"]
1616	Engine-4 Data Infrastructure	US		Bayamón	Bayamón Municipio	PR	Engine-4 Foundation		operational	["county:county-explore"]
1646	DC BLOX Camp Hall data center	US		Moncks Corner	Berkeley	SC	DC BLOX	45.0	planned	["county:county-explore"]
1676	Gemini Data Center SD / Sioux Falls Technology Park data center campus	US		Sioux Falls / Brandon area	Minnehaha	SD	Gemini Data Center SD, LLC / Gemini Capital	500.0	approved	["county:county-explore"]
1706	Scipio Technologies Knoxville	US		Knoxville	Knox	TN	Scipio Technologies		operational	["county:county-explore"]
1736	Cipher Stingray Data Center	US		Andrews	Andrews	TX	Cipher Digital Inc.	70.0	construction	["county:county-explore"]
1766	Old Ocean Datacenter	US		Sweeny	Brazoria	TX	Nightpeak Energy	620.0	planned	["county:county-explore"]
1796	Stream DFWC Wilmer II hyperscale campus / DFWC1	US		Wilmer	Dallas	TX	Stream Data Centers / SDC DFWC, LP	240.0	construction	["county:county-explore"]
1826	Unconfirmed Garza County hyperscale data center proposal	US			Garza	TX			unknown	["county:county-explore"]
1856	Provident Data Centers Hillsboro Campus	US		Hillsboro	Hill	TX	Provident Data Centers		planned	["county:county-explore"]
1886	Dayton data center project	US		Dayton	Liberty	TX			unknown	["county:county-explore"]
1916	Open Origin Presidio County Data Center Campus	US		Marfa	Presidio	TX	Open Origin		planned	["county:county-explore"]
1946	Data Foundry Texas 2	US		Austin	Travis	TX	Data Foundry		operational	["county:county-explore"]
1976	Nine Mile / Uintah Basin Data Center	US		near Myton	Duchesne	UT	Nine Mile Data LLC / Energence Utah LLC	400.0	approved	["county:county-explore"]
2006	Fibernet ORM1 Data Center	US		Orem	Utah	UT	Fibernet		operational	["county:county-explore"]
2036	Watkins Centre data center site	US		Midlothian	Chesterfield	VA	Google / Project Loch site entity		approved	["county:county-explore"]
2066	Remington Technology Park	US		Remington	Fauquier	VA	Remington Technology Park Limited Partnership / PointOne		construction	["county:county-explore"]
2096	PowerHouse Arcola Campus	US		Sterling / Arcola	Loudoun	VA	PowerHouse Data Centers	120.0	planned	["county:county-explore", "state:VA"]
2126	Microsoft AVC17 Lakeside	US		Clarksville	Mecklenburg	VA	Microsoft		planned	["county:county-explore"]
2156	South Point Phase II	US		Manassas	Prince William	VA			planned	["county:county-explore"]
2186	Equinix Manassas	US		Manassas	Prince William	VA	Equinix		planned	["county:county-explore"]
2216	Digital Gateway South	US		Manassas	Prince William	VA			planned	["county:county-explore"]
2246	Globalinx Virginia Beach Data Center Campus	US		Virginia Beach	Virginia Beach city	VA	Globalinx Data Center LLC		construction	["county:county-explore"]
2276	Serverfarm TiTAN Moses Lake Data Center	US		Moses Lake	Grant	WA	Serverfarm / Server Farm Realty	34.0	operational	["county:county-explore"]
2306	Stonebridge Pacific AI Data Center	US		Pacific	Columbia	WI	Stonebridge		unknown	["county:county-explore"]
2336	Project Carmel	US		Kearneysville	Berkeley	WV			approved	["county:county-explore"]
2366	Microsoft Cheyenne Datacenter	US		Cheyenne	Laramie	WY	Microsoft		operational	["county:county-explore"]
2396	STACK PHX01 Avondale Campus	US		Avondale	Maricopa	AZ	STACK Infrastructure	225.0	planned	["state:AZ"]
2426	Microsoft Palmetto Data Center	US		Palmetto	Fulton	GA	Microsoft		construction	["state:GA"]
2456	Chirisa Volo Data Center	US		Volo	Lake	IL	Chirisa		approved	["state:IL"]
2486	DataBank IND1 Downtown Indianapolis	US		Indianapolis	Marion	IN	DataBank	2.1	operational	["state:IN"]
2516	Vantage IN11	US			Hendricks	IN	Vantage Data Centers	256.0	planned	["state:IN"]
2546	Five 9s Digital Charlotte Gateway Data Center	US		Charlotte	Mecklenburg	NC	Five 9s Digital	20.0	operational	["state:NC"]
2576	CyrusOne New Albany COL-1	US		New Albany / Johnstown	Licking	OH	CyrusOne	180.0	construction	["state:OH"]
2606	Cipher Odessa Data Center	US		Odessa	Ector	TX	Cipher Mining	207.0	operational	["state:TX"]
2636	Aligned Salt Lake SLC 02	US		West Jordan	Salt Lake	UT	Aligned	48.0	operational	["state:UT"]
2666	AWS Wallula Gap Phase 2	US		Burbank / Wallula	Walla Walla	WA	Amazon Data Services / Amazon Web Services	300.0	planned	["state:WA"]
2696	Atlas Agro Richland Data Center Campus	US		Richland	Benton	WA	Atlas Agro	350.0	planned	["state:WA"]
2726	Cormor Data Shelter Wellington 3D-printed data center	US		Wellington	Sumner	Kansas	Cormor Data Shelter / Data Shelter / Cormor	100.0	proposed; city energy-sales agreement under discussion	["discovery"]
2756	Centro de Datos Provincial / Aguas del Colorado-EMPATEL Data Center	AR	La Pampa				Aguas del Colorado SAPEM / EMPATEL SAPEM / Gobierno de La Pampa		operational	americas:batch:La Pampa
2786	Digicel Business Barbados colocation data centre	BB	Saint Michael				Digicel Business		operational	americas:batch:Saint Michael
2816	Elea BSB2 Brasilia	BR	Distrito Federal				Elea Data Centers	4.5	operational	americas:batch:Distrito Federal
2846	Ada Infrastructure Rio de Janeiro Campus	BR	Rio de Janeiro				Ada Infrastructure		planned	americas:batch:Rio de Janeiro
2876	Ascenty SPO05 Greater Sao Paulo	BR	Sao Paulo				Ascenty / Digital Realty / Brookfield Infrastructure	47.0	construction	americas:batch:Sao Paulo
2906	CITO Data Center Expansion - SPEM update	BZ	Cayo				Central Information Technology Office / Government of Belize		approved	americas:batch:Cayo
2936	Microsoft Markham Datacentre	CA	Ontario				Microsoft		planned	americas:batch:Ontario
2966	Solaer Atacama renewable-powered AI data center campus	CL	Atacama				Solaer Renewable Energies		planned	americas:batch:Atacama
2996	ZOFRI Iquique data center	CL	Tarapaca				Zona Franca de Iquique (ZOFRI)		operational	americas:batch:Tarapaca
3026	Scala SBOGZB02-SBOGZB03	CO	Cundinamarca				Scala Data Centers		planned	americas:batch:Cundinamarca
3056	SC Zeus San Jose	CR	San Jose				SC Zeus Data Centers	12.5	operational	americas:batch:San Jose
3086	Unidentified La Vega data center facility signal	DO	La Vega				unknown		unknown	americas:batch:La Vega
3116	Transnexa Ecuador Quito data center	EC	Pichincha				Transnexa Ecuador		operational	americas:batch:Pichincha
3146	Tigo DC Guatemala	GT	Guatemala				Tigo Business / Tigo Guatemala / Millicom	1.5	operational	americas:batch:Guatemala
3176	eGov Disaster Recovery site at Digicel Caymanas	JM	Saint Catherine				eGov Jamaica Limited / Digicel Caymanas		operational	americas:batch:Saint Catherine
3206	KIO GUA|1 Guadalajara	MX	Jalisco				KIO Data Centers	7.0	operational	americas:batch:Jalisco
3236	Triara Querétaro Data Center	MX	Queretaro				Telmex / Triara		operational	americas:batch:Queretaro
3266	Tigo IDC 12/10	PA	Panama				Tigo Panama / Cable Onda		operational	americas:batch:Panama
3296	IPTP Networks Desaguadero Data Center	PE	Puno				IPTP Networks		operational	americas:batch:Puno
3326	HIVE Yguazu 100MW expansion	PY	Alto Parana				HIVE Digital Technologies Ltd	100.0	planned	americas:batch:Alto Parana
3356	OCIX Sint Maarten	SX	Sint Maarten				OCIX	1.0	operational	americas:batch:Sint Maarten
3386	CANTV Alta Vista	VE	Bolivar				CANTV		operational	americas:batch:Bolivar
8546	Khazna DXB3 Ibn Battuta data center	AE	Dubai - Sector 5				Khazna Data Centers		operational	world:batch:Dubai - Sector 5
8576	Albania Data Center / H.A.P.I. TEDA Tirana data center	AL	Tirane				Albania Data Center (ADC) / H.A.P.I. Advanced Technologies LTD	32.0	approved	world:batch:Tirane
8606	Magenta Telekom Graz data center	AT	Styria				Magenta Telekom	3.6	operational	world:batch:Styria
8636	Leading Edge Data Centres Griffith edge data centre launch	AU	New South Wales - Griffith				Leading Edge Data Centres		announced	world:batch:New South Wales - Griffith
8666	1-5 Khartoum Road Data Centre / EdgeConneX SYD1 MPark	AU	New South Wales - Ryde				EdgeConneX / Stockland joint venture	76.4	approved	world:batch:New South Wales - Ryde
8696	iseek Eagle Farm LDR2 Data Centre	AU	Queensland - Brisbane				iseek / DigiCo Infrastructure REIT	6.0	operational	world:batch:Queensland - Brisbane
8726	Equinix AE1 Adelaide	AU	South Australia - Adelaide				Equinix		operational	world:batch:South Australia - Adelaide
8756	Project Southgate Wesley Vale AI Factory	AU	Tasmania - Latrobe (Tas.)				Firmus Technologies	52.0	planned	world:batch:Tasmania - Latrobe (Tas.)
8786	Project Nexus Sunbury hyperscale data centre concept	AU	Victoria - Hume				HiQ / Nexus Data Centers	1000.0	announced	world:batch:Victoria - Hume
8816	PGIM Global Data Center Fund Truganina data centre, 1 Oroya Drive	AU	Victoria - Wyndham				PGIM / The Trust Company (Australia) Limited as trustee of GDCF Truganina Trust		approved	world:batch:Victoria - Wyndham
8846	Equinix PE2 Perth International Business Exchange	AU	Western Australia - Perth				Equinix		operational	world:batch:Western Australia - Perth
8876	Nakhchivan Data Center (Naxçıvan Data Mərkəzi)	AZ	Nakhchivan				Nakhchivan Autonomous Republic government (state program, Nakhchivan City Communication Department)		planned	world:batch:Nakhchivan
8906	LCL Antwerp	BE	Flanders				LCL Data Centers		operational	world:batch:Flanders
8936	Brinell Plovdiv AI Factory / Data Center Campus	BG	Plovdiv				Brinell Compute GmbH		planned	world:batch:Plovdiv
8966	Buja Online Data Center	BI	Bujumbura Mairie				Buja Online		operational	world:batch:Bujumbura Mairie
8996	Orange Botswana Francistown Disaster Recovery Site	BW	North East				Orange Botswana		planned	world:batch:North East
9026	Huawei Administration Digital Infrastructure / Tier III Government Data Center	CF	Bangui				Huawei / Government of Central African Republic		planned	world:batch:Bangui
9056	CKW Datacenter LuZ Luzern Mitte	CH	Luzern				CKW Fiber Services AG		operational	world:batch:Luzern
9086	Green Metro-Campus Zurich, Dielsdorf buildings N and O	CH	Zurich				Green Datacenter AG	35.0	construction	world:batch:Zurich
9116	Matrix Telecoms Douala Data Center	CM	Littoral				Matrix Telecoms SA		operational	world:batch:Littoral
9146	VNET Anhui (Suzhou) Data Center	CN	Anhui - Suzhou Shi				VNET Group, Inc.		operational	world:batch:Anhui - Suzhou Shi
9176	Zhangzhou Big Data Center at Yutang Digital Economy Industrial Park	CN	Fujian - Zhangzhou Shi				Zhangzhou municipal authorities / Yutang Digital Economy Industrial Park		construction	world:batch:Fujian - Zhangzhou Shi
9206	Guangzhou Artificial Intelligence Public Computing Center	CN	Guangdong - Guangzhou Shi				Guangzhou Data Group / Digital Guangzhou Innovation Laboratory		operational	world:batch:Guangdong - Guangzhou Shi
9236	深圳港集团智慧模块化数据中心	CN	Guangdong - Shenzhen				Shenzhen Port Group / Huawei Digital Power	0.54	operational	world:batch:Guangdong - Shenzhen
9266	China Mobile Guangxi Hezhou Data Center	CN	Guangxi - Hezhou Shi				China Mobile Guangxi Hezhou Branch		operational	world:batch:Guangxi - Hezhou Shi
9296	China Telecom Zunyi Xinpu cloud computing datacenter	CN	Guizhou - Zunyi Shi				China Telecom Guizhou		planned	world:batch:Guizhou - Zunyi Shi
9326	JD Group North China (Langfang) Cloud Data Center Base	CN	Hebei - Langfang Shi				JD Group		construction	world:batch:Hebei - Langfang Shi
9356	Qiqihar 1000P AI computing center	CN	Heilongjiang - Qiqihar Shi				Heilongjiang Zhengtong Big Data (Group) Co., Ltd.		approved	world:batch:Heilongjiang - Qiqihar Shi
9386	Zhoukou Big Data Industrial Park	CN	Henan - Zhoukou Shi				Zhoukou municipal / urban-rural integration demonstration area stakeholders; design by HM International		planned	world:batch:Henan - Zhoukou Shi
9416	Three Gorges Dongyuemiao Data Center	CN	Hubei - Yichangshi				China Three Gorges Corp / Three Gorges Hi-Tech		operational	world:batch:Hubei - Yichangshi
9446	China Mobile (Hunan Zhuzhou) Data Center / Big Data Center	CN	Hunan - Zhuzhou Shi				China Mobile Hunan		operational	world:batch:Hunan - Zhuzhou Shi
9476	Zhongjin Jingmeng Green Computing Industrial Park Phase II	CN	Inner Mongolia - Wulanchabu Shi				Zhongjin / Jingmeng Green Computing Industrial Park		planned	world:batch:Inner Mongolia - Wulanchabu Shi
9506	Zhihuifengcheng Data Center Phase II	CN	Jiangsu - Taizhou Shi				Guangdong Yunxia Huijin Technology / Idcloudbase		operational	world:batch:Jiangsu - Taizhou Shi
9536	Shangrao domestic Xinchuang AI Intelligent Computing Center	CN	Jiangxi - Shangrao Shi				Shangrao High-Speed Rail Economic Pilot Zone / Zhejiang University Computer Innovation Technology Research Institute partners		operational	world:batch:Jiangxi - Shangrao Shi
9566	Dalian Fashion and Industrial Design AI Large Model Intelligent Computing Center	CN	Liaoning - Dalian Shi				Dalian Mobile, Pulandian District, Shanghai Shejie Technology Group, Hengwei Technology		announced	world:batch:Liaoning - Dalian Shi
9596	CCCC Zhongwei Cloud Data Center Project Phase I	CN	Ningxia - Zhongwei Shi				CCCC / Zhongjiao project company	126.4	construction	world:batch:Ningxia - Zhongwei Shi
9626	Yellow River Delta Cloud Computing Center	CN	Shandong - Dongying Shi				Dongying Municipal Government; IBM		unknown	world:batch:Shandong - Dongying Shi
